SolverName,InstanceName,TerminationStatus,PrimalStatus,ObjBound,ObjValue,SolveTime,SolveTimeRaw,CompletedSolveTime,Error,RelativeGap,AbsoluteGap,SolvedInTime
BARON,Expr_02_softplus_5_4_3,LOCALLY_SOLVED,FEASIBLE_POINT,3.58585304492,3.586211630227105,0.58,0.8259999752044678,200.0,false,0.0001000000007287828,0.000358585307105308,true
BARON,Expr_02_softplus_6_1_6,LOCALLY_SOLVED,FEASIBLE_POINT,2.66703485595,2.6673015594381546,0.2,0.42299985885620117,200.0,false,0.00010000000095976179,0.0002667034881547181,true
BARON,Expr_02_softsign_3_1_5,LOCALLY_SOLVED,FEASIBLE_POINT,-7.67439050121,-7.673623062162498,0.1,0.32899999618530273,200.0,false,0.00010001000065877914,0.0007674390475020942,true
BARON,Expr_02_softsign_4_1_4,LOCALLY_SOLVED,FEASIBLE_POINT,-6.60857763987,-6.60791678210162,0.1,0.34399986267089844,200.0,false,0.0001000100016649393,0.0006608577683797634,true
BARON,Expr_02_softsign_5_4_3,OPTIMAL,FEASIBLE_POINT,-24.5440747305,-24.54407473045012,0.16,0.46700000762939453,0.16,false,2.0322664674939355e-12,4.988010005035903e-11,true
BARON,Expr_02_softsign_6_1_6,LOCALLY_SOLVED,FEASIBLE_POINT,-22.1374101917,-22.13519645071884,0.1,0.3279998302459717,200.0,false,0.0001000099992826836,0.002213740981158452,true
BARON,Expr_03_sigmoid_3_2_6,LOCALLY_SOLVED,FEASIBLE_POINT,3.34116378152,3.341497897901812,0.79,1.0230000019073486,200.0,false,0.00010000000109536678,0.0003341163818117998,true
BARON,Expr_03_sigmoid_4_4_2,LOCALLY_SOLVED,FEASIBLE_POINT,1.0819218417,1.082030033881646,0.17,0.40000009536743164,200.0,false,9.999999766704726e-5,0.00010819218164592748,true
BARON,Expr_03_sigmoid_6_1_4,LOCALLY_SOLVED,FEASIBLE_POINT,0.837815281606,0.8379152816055195,0.38,0.6269998550415039,200.0,false,0.00011935805148814596,9.999999951948446e-5,true
BARON,Expr_03_silu_3_2_6,LOCALLY_SOLVED,FEASIBLE_POINT,1.56294075017,1.563097044243905,8.35,8.587999820709229,200.0,false,9.99999992885527e-5,0.00015629407390505,true
BARON,Expr_03_silu_4_4_2,LOCALLY_SOLVED,FEASIBLE_POINT,0.389547440124,0.3896474401243136,0.44,0.7039999961853027,200.0,false,0.000256708143895889,0.00010000000031362699,true
BARON,Expr_03_silu_6_1_4,LOCALLY_SOLVED,FEASIBLE_POINT,-1.08669988954,-1.0865912195473746,10.92,11.157000064849854,200.0,false,0.00010001000437923982,0.00010866999262537647,true
BARON,Expr_03_softplus_3_2_6,LOCALLY_SOLVED,FEASIBLE_POINT,6.0313948662,6.031998005685386,0.56,0.81600022315979,200.0,false,9.99999997953736e-5,0.0006031394853858174,true
BARON,Expr_03_softplus_4_4_2,LOCALLY_SOLVED,FEASIBLE_POINT,1.49059888963,1.4907479495179743,0.25,0.49000000953674316,200.0,false,9.99999993367177e-5,0.00014905988797431213,true
BARON,Expr_03_softplus_6_1_4,LOCALLY_SOLVED,FEASIBLE_POINT,0.974864062513,0.9749640625130696,0.19,0.4330000877380371,200.0,false,0.00010257840443089106,0.00010000000006959997,true
BARON,Expr_03_softsign_3_2_6,OPTIMAL,FEASIBLE_POINT,-21.2057454137,-21.20574541371621,0.1,0.33500003814697266,0.1,false,7.642966321861537e-13,-1.6207479802687885e-11,true
BARON,Expr_03_softsign_4_4_2,LOCALLY_SOLVED,FEASIBLE_POINT,-1.14739678713,-1.147282047449887,0.1,0.33500003814697266,200.0,false,0.0001000100022203974,0.00011473968011288527,true
BARON,Expr_03_softsign_6_1_4,LOCALLY_SOLVED,FEASIBLE_POINT,-11.3504050388,-11.34926999832004,0.11,0.32899999618530273,200.0,false,0.00010000999889229825,0.0011350404799603808,true
BARON,Expr_04_sigmoid_2_2_6,LOCALLY_SOLVED,FEASIBLE_POINT,3.26884866194,3.26917554681009,0.4,0.6450002193450928,200.0,false,0.00010000000119183135,0.0003268848700899163,true
BARON,Expr_04_sigmoid_3_2_2,LOCALLY_SOLVED,FEASIBLE_POINT,1.19950769104,1.1996276418099177,0.2,0.45399999618530273,200.0,false,0.00010000000067833242,0.00011995076991766496,true
BARON,Expr_04_sigmoid_4_3_5,LOCALLY_SOLVED,FEASIBLE_POINT,2.11203945695,2.1122506608987943,3.81,4.059000015258789,200.0,false,0.00010000000146752968,0.00021120394879448057,true
BARON,Expr_04_sigmoid_5_4_3,LOCALLY_SOLVED,FEASIBLE_POINT,1.62105888854,1.621220994433635,1.52,1.7590000629425049,200.0,false,0.0001000000029494236,0.00016210589363518935,true
BARON,Expr_04_silu_2_2_6,LOCALLY_SOLVED,FEASIBLE_POINT,0.634206803745,0.6343068037453069,2.11,2.3550000190734863,200.0,false,0.0001576772745362447,0.00010000000030685463,true
BARON,Expr_04_silu_3_2_2,LOCALLY_SOLVED,FEASIBLE_POINT,0.558877894756,0.5589778947558262,0.36,0.6649999618530273,200.0,false,0.00017892996084553848,9.999999982612806e-5,true
BARON,Expr_04_silu_4_3_5,TIME_LIMIT,UNKNOWN_RESULT_STATUS,-5.4586398083,-0.49095503263807183,101.24,101.52799987792969,200.0,false,10.118410944824891,4.967684775661928,false
BARON,Expr_04_silu_5_4_3,TIME_LIMIT,UNKNOWN_RESULT_STATUS,-1.83741562662,0.0402818954602606,102.56,102.90199995040894,200.0,false,46.61393165901715,1.8776975220802605,false
BARON,Expr_04_softplus_2_2_6,LOCALLY_SOLVED,FEASIBLE_POINT,7.57026700966,7.571024036363206,0.29,0.5360000133514404,200.0,false,0.00010000000029589279,0.0007570267032059874,true
BARON,Expr_04_softplus_3_2_2,LOCALLY_SOLVED,FEASIBLE_POINT,1.76673431055,1.7669109839814436,0.15,0.3810000419616699,200.0,false,0.00010000000021999609,0.00017667343144367464,true
BARON,Expr_04_softplus_4_3_5,LOCALLY_SOLVED,FEASIBLE_POINT,2.52051877728,2.5207708291607385,0.72,0.9890000820159912,200.0,false,0.00010000000119440215,0.00025205188073851303,true
BARON,Expr_04_softplus_5_4_3,LOCALLY_SOLVED,FEASIBLE_POINT,2.91675194194,2.9170436171323413,0.95,1.186999797821045,200.0,false,9.999999936484548e-5,0.0002916751923414118,true
BARON,Expr_04_softsign_2_2_6,OPTIMAL,FEASIBLE_POINT,-12.8976009951,-12.89760099506758,0.1,0.33300018310546875,0.1,false,2.5136681378414825e-12,3.242028867589397e-11,true
BARON,Expr_04_softsign_3_2_2,OPTIMAL,FEASIBLE_POINT,-1.53282038425,-1.532820384250059,0.1,0.34399986267089844,0.1,false,3.853280235371996e-14,-5.906386491005833e-14,true
BARON,Expr_04_softsign_4_3_5,OPTIMAL,FEASIBLE_POINT,-39.1441360391,-39.14413603909426,0.12,0.38700008392333984,0.12,false,1.4648630568464288e-13,5.7340798775840085e-12,true
BARON,Expr_04_softsign_5_4_3,OPTIMAL,FEASIBLE_POINT,-65.117399798,-65.11739979803994,0.18,0.47099995613098145,0.18,false,6.134568138216685e-13,-3.994671260443283e-11,true
BARON,Expr_05_sigmoid_3_3_5,LOCALLY_SOLVED,FEASIBLE_POINT,2.37989954706,2.380137537015946,0.41,0.6679999828338623,200.0,false,0.00010000000052099994,0.00023798995594592753,true
