,neuron_type,n,loss,val_loss
97,gelu,2,0.00919464509934187,0.008806303143501282
98,silu,2,0.003827223554253578,0.003963635303080082
99,tanh,2,0.011043245904147625,0.010398726910352707
100,gelu,2,0.010940798558294773,0.010262101888656616
101,silu,2,0.004067625384777784,0.004132751375436783
102,tanh,2,0.0028157660271972418,0.002902338746935129
103,gelu,2,0.011567310430109501,0.010818769223988056
104,silu,2,0.010951622389256954,0.010198485106229782
105,tanh,2,0.01109397504478693,0.010189557448029518
106,gelu,2,0.0036855805665254593,0.0038656017277389765
107,silu,2,0.004042870365083218,0.0038632992655038834
108,tanh,2,0.03824104741215706,0.03628756105899811
109,gelu,2,0.00344668235629797,0.0033449758775532246
110,silu,2,0.0028471634723246098,0.0029506520368158817
111,tanh,2,0.03894740715622902,0.036037903279066086
112,gelu,2,0.0049482546746730804,0.004734411835670471
113,silu,2,0.01185296569019556,0.010827326215803623
114,tanh,2,0.010957159101963043,0.010094409808516502
115,gelu,2,0.003835120936855674,0.003983499016612768
116,silu,2,0.012229696847498417,0.011698804795742035
117,tanh,2,0.002811652375385165,0.0028768442571163177
118,gelu,2,0.004422362428158522,0.004137913230806589
119,silu,2,0.0032866778783500195,0.0034303830470889807
120,tanh,3,0.0028589139692485332,0.003043306991457939
121,gelu,3,0.004753136076033115,0.004661594983190298
122,silu,3,0.002448572311550379,0.0024330043233931065
123,tanh,3,0.0028973985463380814,0.003143714275211096
124,gelu,3,0.0036018029786646366,0.0037407081108540297
125,silu,3,0.003993122838437557,0.0039315600879490376
126,tanh,3,0.0027171324472874403,0.0031180072110146284
127,gelu,3,0.004016367718577385,0.0043540471233427525
128,silu,3,0.0046239690855145454,0.004715379327535629
129,tanh,3,0.002761143958196044,0.0029220040887594223
130,gelu,3,0.004041374661028385,0.004319892264902592
131,silu,3,0.0026501379907131195,0.0026871715672314167
132,tanh,3,0.0030907110776752234,0.0033365818671882153
133,gelu,3,0.003594644134864211,0.003682643873617053
134,silu,3,0.003321239026263356,0.003911647479981184
135,tanh,3,0.0030133076943457127,0.003268122673034668
136,gelu,3,0.042532991617918015,0.04097360000014305
137,silu,3,0.0038221199065446854,0.003966271411627531
138,tanh,3,0.003003325080499053,0.003059044945985079
139,gelu,3,0.003918946720659733,0.004266312811523676
140,silu,3,0.0018032899824902415,0.0018582026241347194
141,tanh,3,0.002970040077343583,0.003054611850529909
142,gelu,3,0.003618040354922414,0.0037945187650620937
143,silu,3,0.004137204959988594,0.004162893630564213
144,tanh,3,0.00292456173337996,0.003102503949776292
145,gelu,3,0.0022171163000166416,0.0022405236959457397
146,silu,3,0.0039817639626562595,0.004417392425239086
147,tanh,3,0.0028997340705245733,0.003092439379543066
148,gelu,3,0.0017936889780685306,0.0018372032791376114
149,silu,3,0.0032265495974570513,0.003134273923933506
150,tanh,3,0.0028159795328974724,0.0029835065361112356
151,gelu,3,0.004709690343588591,0.004572471138089895
152,silu,3,0.03646764159202576,0.03497221693396568
153,tanh,3,0.0030722753144800663,0.00321932858787477
154,gelu,3,0.003823936218395829,0.003981726244091988
155,silu,3,0.011564564891159534,0.010503181256353855
156,tanh,3,0.0028042015619575977,0.0030329362489283085
157,gelu,3,0.003639879170805216,0.0037352147046476603
158,silu,3,0.011136597022414207,0.010536630637943745
159,tanh,3,0.0029760287143290043,0.003196945646777749
160,gelu,3,0.0029803644865751266,0.0031827001366764307
161,silu,3,0.003416777355596423,0.003620147006586194
162,tanh,3,0.003382311435416341,0.0036527293268591166
