neuron_type,n,loss,val_loss,Depth,NL Terms
silu,3,0.009609493,0.00950728,2,6
tanh,3,0.039632205,0.036019519,2,6
gelu,3,0.00386531,0.003459861,2,6
silu,3,0.003900157,0.003437404,2,6
tanh,3,0.010083024,0.010019685,2,6
gelu,3,0.004969617,0.004599317,2,6
silu,3,0.002484046,0.002376353,2,6
tanh,3,0.00310416,0.002822802,2,6
gelu,3,0.010451668,0.010164306,2,6
silu,3,0.039439194,0.035957597,2,6
tanh,3,0.009725433,0.009492019,2,6
gelu,3,0.003211787,0.002874422,2,6
silu,3,0.002542054,0.00247401,2,6
tanh,3,0.002669016,0.002414493,2,6
gelu,3,0.011123077,0.010845497,2,6
silu,3,0.00307819,0.002966844,2,6
tanh,3,0.002276176,0.002233448,2,6
gelu,3,0.03938438,0.035983562,2,6
silu,3,0.010693456,0.01064048,2,6
tanh,3,0.0103786,0.010147434,2,6
gelu,3,0.001356684,0.001416821,2,6
silu,3,0.011146989,0.010892505,2,6
tanh,3,0.002180536,0.002107157,2,6
gelu,3,0.002555325,0.002398152,2,6
silu,3,0.00382752,0.003417305,2,6
tanh,3,0.002224211,0.002077086,2,6
gelu,3,0.005157951,0.005037611,2,6
silu,3,0.010762562,0.010571383,2,6
tanh,3,0.010024147,0.009770951,2,6
gelu,3,0.001983201,0.001931152,2,6
silu,3,0.0032839,0.003149007,2,6
tanh,3,0.010143188,0.010113225,2,6
gelu,3,0.00570682,0.005436509,2,6
silu,3,0.003129206,0.002861038,2,6
tanh,3,0.00240827,0.0023532,2,6
gelu,3,0.003991898,0.003537867,2,6
silu,3,0.002526385,0.002442244,2,6
tanh,3,0.011062156,0.010721292,2,6
gelu,3,0.005518727,0.00524183,2,6
silu,3,0.00271576,0.002467854,2,6
tanh,3,0.00279161,0.002524552,2,6
gelu,3,0.004713848,0.004410312,2,6
silu,3,0.007391622,0.006555266,2,6
tanh,3,0.010492516,0.010117825,2,6
gelu,3,0.003348751,0.002997306,2,6
silu,3,0.012221292,0.011845397,2,6
tanh,3,0.00308962,0.002821049,2,6
gelu,3,0.007842816,0.007758907,2,6
silu,3,0.01054085,0.010338122,2,6
tanh,3,0.01032977,0.010135927,2,6
gelu,3,0.004036895,0.003745968,2,6
silu,3,0.003263725,0.002908784,2,6
tanh,3,0.010896059,0.010349411,2,6
gelu,3,0.003242566,0.003005262,2,6
silu,3,0.003632433,0.003196607,2,6
tanh,3,0.010963641,0.010753527,2,6
gelu,3,0.00446931,0.003995643,2,6
silu,3,0.010116284,0.009837284,2,6
tanh,3,0.039988529,0.036207408,2,6
gelu,3,0.010256035,0.010385223,2,6
silu,3,0.004829433,0.00405612,2,6
tanh,3,0.002884654,0.002504139,2,6
gelu,3,0.003545712,0.003261606,2,6
silu,3,0.002719694,0.002505794,2,6
tanh,3,0.00289559,0.002987788,2,6
gelu,3,0.011801075,0.011518592,2,6
silu,3,0.003501595,0.003036613,2,6
tanh,3,0.002114156,0.002032658,2,6
gelu,3,0.00342099,0.003040688,2,6
silu,3,0.003392932,0.003218332,2,6
tanh,3,0.011507494,0.011150235,2,6
gelu,3,0.011143583,0.010656075,2,6
silu,3,0.004101261,0.003724257,2,6
tanh,3,0.002902799,0.002650522,2,6
gelu,3,0.010043634,0.009900772,2,6
silu,3,0.004686493,0.004120589,2,6
tanh,3,0.002513881,0.002355411,2,6
gelu,3,0.003958344,0.003436386,2,6
silu,3,0.011716554,0.011303944,2,6
tanh,3,0.002168562,0.002061938,2,6
gelu,3,0.003369718,0.002892433,2,6
silu,3,0.011536084,0.011071437,2,6
tanh,3,0.010624668,0.010355002,2,6
gelu,3,0.00313461,0.002894541,2,6
silu,3,0.004197319,0.003887443,2,6
tanh,3,0.003015646,0.002709748,2,6
gelu,3,0.004380896,0.003826762,2,6
silu,3,0.010808781,0.010655135,2,6
tanh,3,0.010721801,0.010597522,2,6
gelu,3,0.002165495,0.00198602,2,6
silu,3,0.00398696,0.003582795,2,6
tanh,3,0.002211127,0.002276052,2,6
gelu,3,0.010929069,0.010419059,2,6
silu,3,0.00319606,0.003011781,2,6
tanh,4,0.002526811,0.002553974,2,8
gelu,4,0.011223476,0.011181336,2,8
silu,4,0.00257109,0.002575313,2,8
tanh,4,0.002072023,0.002042321,2,8
gelu,4,0.00451666,0.00435581,2,8
silu,4,0.002370551,0.002262225,2,8
tanh,4,0.00282522,0.002735964,2,8
gelu,4,0.003333391,0.003064449,2,8
silu,4,0.002188692,0.00193373,2,8
tanh,4,0.003206687,0.002821255,2,8
gelu,4,0.00393346,0.003581264,2,8
silu,4,0.002230964,0.002231562,2,8
tanh,4,0.002150717,0.002174771,2,8
gelu,4,0.003056478,0.002860448,2,8
silu,4,0.003355351,0.003533261,2,8
tanh,4,0.002864691,0.002723879,2,8
gelu,4,0.010887182,0.010475428,2,8
silu,4,0.009858681,0.009273489,2,8
tanh,4,0.002334939,0.002328191,2,8
gelu,4,0.002662823,0.002480359,2,8
silu,4,0.003130776,0.002881348,2,8
tanh,4,0.002761253,0.002465433,2,8
gelu,4,0.011787285,0.011242835,2,8
silu,4,0.011062591,0.010862283,2,8
tanh,4,0.002532492,0.002465881,2,8
gelu,4,0.001550577,0.001459833,2,8
silu,4,0.003936006,0.003835684,2,8
tanh,4,0.001646237,0.00161464,2,8
gelu,4,0.002038514,0.001936414,2,8
silu,4,0.002870679,0.002869413,2,8
tanh,4,0.001479934,0.001450307,2,8
gelu,4,0.004545006,0.003997615,2,8
silu,4,0.003552581,0.003363721,2,8
tanh,4,0.002232431,0.002159114,2,8
gelu,4,0.002276424,0.002252567,2,8
silu,4,0.002859131,0.002685742,2,8
tanh,4,0.002677055,0.002366822,2,8
gelu,4,0.003613924,0.003229592,2,8
silu,4,0.011389351,0.010936806,2,8
tanh,4,0.002433666,0.002355959,2,8
gelu,4,0.010720087,0.01030695,2,8
silu,4,0.003021012,0.002831724,2,8
tanh,4,0.002745112,0.002487059,2,8
gelu,4,0.004676931,0.004276921,2,8
silu,4,0.005007732,0.004613315,2,8
tanh,4,0.002994483,0.002698702,2,8
gelu,4,0.005156349,0.004826704,2,8
silu,4,0.039761055,0.036113407,2,8
tanh,4,0.002073632,0.002014305,2,8
gelu,4,0.005787659,0.005039116,2,8
silu,4,0.003575145,0.003631484,2,8
tanh,4,0.002328538,0.002295499,2,8
gelu,4,0.003899879,0.003851996,2,8
silu,4,0.00633202,0.005999205,2,8
tanh,4,0.00251367,0.002343145,2,8
gelu,4,0.004663434,0.004642682,2,8
silu,4,0.002700583,0.002557383,2,8
tanh,4,0.003133876,0.003037013,2,8
gelu,4,0.003972732,0.003424212,2,8
silu,4,0.003811618,0.003598767,2,8
tanh,4,0.002911993,0.00276013,2,8
gelu,4,0.003234388,0.003013032,2,8
silu,4,0.005559194,0.005531538,2,8
tanh,4,0.007873816,0.007388331,2,8
gelu,4,0.003102394,0.00282609,2,8
silu,4,0.0022955,0.002226928,2,8
tanh,4,0.003627032,0.003730077,2,8
gelu,4,0.004087,0.00377712,2,8
silu,4,0.003976189,0.003512503,2,8
tanh,4,0.002654445,0.002509561,2,8
gelu,4,0.004413859,0.003988254,2,8
silu,4,0.004135875,0.003622663,2,8
tanh,4,0.003045878,0.002935718,2,8
gelu,4,0.002155545,0.002025236,2,8
silu,4,0.002537376,0.002335584,2,8
tanh,4,0.002686303,0.002617945,2,8
gelu,4,0.004405852,0.004007203,2,8
silu,4,0.004628255,0.00439541,2,8
tanh,4,0.039377525,0.036023028,2,8
gelu,4,0.009735477,0.009763519,2,8
silu,4,0.002622456,0.002443346,2,8
tanh,4,0.002130653,0.002163514,2,8
gelu,4,0.009287958,0.008782872,2,8
silu,4,0.003995411,0.004042273,2,8
tanh,4,0.010798891,0.010612846,2,8
gelu,4,0.003859497,0.003290401,2,8
silu,4,0.002854114,0.002895445,2,8
tanh,4,0.003123137,0.002902274,2,8
gelu,4,0.002031458,0.001999733,2,8
silu,4,0.003796639,0.003447003,2,8
tanh,4,0.00279682,0.002720161,2,8
gelu,4,0.00983718,0.009421612,2,8
silu,4,0.003476778,0.003088004,2,8
tanh,4,0.002867171,0.00260065,2,8
gelu,4,0.002417277,0.002166608,2,8
silu,4,0.002076505,0.002058188,2,8
tanh,4,0.002403231,0.002317555,2,8
gelu,4,0.003050447,0.003000431,2,8
silu,4,0.004715567,0.004479588,2,8
tanh,4,0.002901298,0.00257514,2,8
gelu,4,0.002987243,0.002973682,2,8
silu,4,0.002823419,0.002933923,2,8
tanh,4,0.003457643,0.003303825,2,8
gelu,4,0.002782196,0.00265688,2,8
silu,4,0.002164979,0.002107013,2,8
tanh,4,0.002171807,0.002050298,2,8
gelu,4,0.003398128,0.003113021,2,8
silu,4,0.004676892,0.004130272,2,8
tanh,4,0.002831164,0.002744178,2,8
gelu,4,0.002560857,0.002698079,2,8
silu,4,0.003991375,0.003448132,2,8
tanh,4,0.002185761,0.002151909,2,8
gelu,4,0.002425258,0.002367402,2,8
silu,4,0.002553849,0.00244328,2,8
tanh,4,0.002397622,0.002229813,2,8
gelu,4,0.011284925,0.011002436,2,8
silu,4,0.010621223,0.010485508,2,8
tanh,4,0.002848794,0.002545184,2,8
gelu,4,0.001949714,0.00180501,2,8
silu,4,0.002370907,0.00225731,2,8
tanh,5,0.011112669,0.011042817,2,10
gelu,5,0.003082786,0.002902191,2,10
silu,5,0.002695018,0.002726692,2,10
tanh,5,0.003245385,0.002842642,2,10
gelu,5,0.002680061,0.002626644,2,10
silu,5,0.003601962,0.003362926,2,10
tanh,5,0.003258165,0.002932349,2,10
gelu,5,0.003138962,0.003005473,2,10
silu,5,0.002657962,0.002591547,2,10
tanh,5,0.002460375,0.002442925,2,10
gelu,5,0.003739801,0.003295377,2,10
silu,5,0.004493846,0.003851815,2,10
tanh,5,0.002763932,0.002588489,2,10
gelu,5,0.003991621,0.003567938,2,10
silu,5,0.002054419,0.002074608,2,10
tanh,5,0.002539058,0.002360558,2,10
gelu,5,0.003003429,0.002909515,2,10
silu,5,0.003361356,0.002986041,2,10
tanh,5,0.001752005,0.00170297,2,10
gelu,5,0.003415789,0.00315581,2,10
silu,5,0.003016277,0.00293648,2,10
tanh,5,0.002430389,0.002429751,2,10
gelu,5,0.004308722,0.004063515,2,10
silu,5,0.003584498,0.003178228,2,10
tanh,5,0.002615204,0.00252248,2,10
gelu,5,0.00280264,0.002826502,2,10
silu,5,0.001974417,0.002008046,2,10
tanh,5,0.002194152,0.002123118,2,10
gelu,5,0.002637516,0.002508421,2,10
silu,5,0.003478432,0.003342877,2,10
tanh,5,0.003450815,0.003262263,2,10
gelu,5,0.003155911,0.003055044,2,10
silu,5,0.005260279,0.005159446,2,10
tanh,5,0.002743687,0.002552217,2,10
gelu,5,0.001969524,0.001993075,2,10
silu,5,0.003976456,0.003528302,2,10
tanh,5,0.002166331,0.002084199,2,10
gelu,5,0.003871656,0.003589803,2,10
silu,5,0.002591237,0.002482271,2,10
tanh,5,0.002720588,0.002578293,2,10
gelu,5,0.004188364,0.003901195,2,10
silu,5,0.003081246,0.00290917,2,10
tanh,5,0.003624434,0.003352568,2,10
gelu,5,0.003288658,0.003018074,2,10
silu,5,0.002527446,0.002540084,2,10
tanh,5,0.002694421,0.002503289,2,10
gelu,5,0.003294573,0.002995899,2,10
silu,5,0.003425172,0.003123194,2,10
tanh,5,0.002473466,0.00236294,2,10
gelu,5,0.00371542,0.003381093,2,10
silu,5,0.003362557,0.003024649,2,10
tanh,5,0.00299652,0.002800989,2,10
gelu,5,0.002849282,0.002804594,2,10
silu,5,0.002702304,0.002521363,2,10
tanh,5,0.002382009,0.002297959,2,10
gelu,5,0.005861475,0.005185203,2,10
silu,5,0.00520146,0.004876294,2,10
tanh,5,0.002572946,0.002481325,2,10
gelu,5,0.004803642,0.004154015,2,10
silu,5,0.004938016,0.00442243,2,10
tanh,5,0.00263308,0.002422297,2,10
gelu,5,0.003347129,0.003265196,2,10
silu,5,0.003875148,0.003495926,2,10
tanh,5,0.003479907,0.003199366,2,10
gelu,5,0.008535285,0.00861154,2,10
silu,5,0.003446709,0.003372278,2,10
tanh,5,0.002626803,0.002369931,2,10
gelu,5,0.003101653,0.002949283,2,10
silu,5,0.003801356,0.003636371,2,10
tanh,5,0.002907348,0.002949306,2,10
gelu,5,0.004011847,0.003476039,2,10
silu,5,0.003894259,0.003457113,2,10
tanh,5,0.002927072,0.002747702,2,10
gelu,5,0.001502425,0.001529119,2,10
silu,5,0.003082456,0.002756749,2,10
tanh,5,0.00320969,0.002986643,2,10
gelu,5,0.00391447,0.003571345,2,10
silu,5,0.003002238,0.002759099,2,10
tanh,5,0.010930371,0.010512004,2,10
gelu,5,0.003467317,0.003160045,2,10
silu,5,0.002934377,0.002912355,2,10
tanh,5,0.002754372,0.002694313,2,10
gelu,5,0.003723997,0.003414405,2,10
silu,5,0.002790614,0.002705043,2,10
tanh,5,0.00296645,0.002697099,2,10
gelu,5,0.003589925,0.003305891,2,10
silu,5,0.003173684,0.00317178,2,10
tanh,5,0.002726537,0.002604297,2,10
gelu,5,0.003697656,0.003390145,2,10
silu,5,0.005763178,0.00498806,2,10
tanh,5,0.002850348,0.002693641,2,10
gelu,5,0.003268558,0.003089048,2,10
silu,5,0.004471786,0.004034182,2,10
tanh,5,0.003037615,0.002949846,2,10
gelu,5,0.001109205,0.001247772,2,10
silu,5,0.004321579,0.003775857,2,10
tanh,5,0.002444438,0.002365884,2,10
gelu,5,0.003657869,0.003204958,2,10
silu,5,0.004139393,0.003850717,2,10
tanh,5,0.003325745,0.002898964,2,10
gelu,5,0.002651237,0.002484186,2,10
silu,5,0.004038581,0.0034032,2,10
tanh,5,0.003115296,0.002817328,2,10
gelu,5,0.002158244,0.002161503,2,10
silu,5,0.003595322,0.003451478,2,10
tanh,5,0.002503614,0.002565733,2,10
gelu,5,0.002847027,0.002680322,2,10
silu,5,0.003791413,0.003668996,2,10
tanh,5,0.002534456,0.002396084,2,10
gelu,5,0.001678441,0.001591139,2,10
silu,5,0.003990088,0.003617537,2,10
tanh,5,0.002616742,0.002555413,2,10
gelu,5,0.003772877,0.003428319,2,10
silu,5,0.00328153,0.002934776,2,10
tanh,5,0.002040188,0.001967717,2,10
gelu,5,0.010478649,0.010301374,2,10
silu,5,0.00521355,0.005005666,2,10
tanh,5,0.002761407,0.002705149,2,10
gelu,5,0.003267182,0.003123442,2,10
silu,5,0.002385617,0.00236725,2,10
tanh,6,0.002822566,0.002771752,2,12
gelu,6,0.00179968,0.00191399,2,12
silu,6,0.0042432,0.003672143,2,12
tanh,6,0.003156541,0.002861173,2,12
gelu,6,0.00329222,0.003136119,2,12
silu,6,0.002919115,0.002946984,2,12
tanh,6,0.001890415,0.001785035,2,12
gelu,6,0.003109896,0.003032631,2,12
silu,6,0.004000337,0.003537477,2,12
tanh,6,0.002729803,0.002542262,2,12
gelu,6,0.003243294,0.0031535,2,12
silu,6,0.001596605,0.001657174,2,12
tanh,6,0.002970584,0.002860406,2,12
gelu,6,0.002674816,0.00260495,2,12
silu,6,0.00177307,0.001671568,2,12
tanh,6,0.003067116,0.002865296,2,12
gelu,6,0.003863019,0.003720501,2,12
silu,6,0.001715794,0.001663893,2,12
tanh,6,0.003378546,0.003159225,2,12
gelu,6,0.004181965,0.003685591,2,12
silu,6,0.004439112,0.00398596,2,12
tanh,6,0.003801189,0.003177085,2,12
gelu,6,0.008910809,0.008643237,2,12
silu,6,0.003349578,0.002963887,2,12
tanh,6,0.002440871,0.002337823,2,12
gelu,6,0.002774593,0.002426026,2,12
silu,6,0.003191275,0.002820071,2,12
tanh,6,0.002508874,0.002492062,2,12
gelu,6,0.010325744,0.009949285,2,12
silu,6,0.003359557,0.002953415,2,12
tanh,6,0.002551476,0.002329583,2,12
gelu,6,0.002256751,0.002217737,2,12
silu,6,0.004572228,0.004209449,2,12
tanh,6,0.002174589,0.002264221,2,12
gelu,6,0.002398988,0.002454079,2,12
silu,6,0.002635666,0.002457688,2,12
tanh,6,0.002996108,0.002695339,2,12
gelu,6,0.003508758,0.003245353,2,12
silu,6,0.004653639,0.004293805,2,12
tanh,6,0.002921036,0.002776541,2,12
gelu,6,0.002449784,0.002467218,2,12
silu,6,0.002515087,0.002395037,2,12
tanh,6,0.002658922,0.002520107,2,12
gelu,6,0.002705798,0.002346573,2,12
silu,6,0.002928426,0.003047653,2,12
tanh,6,0.002425852,0.002232712,2,12
gelu,6,0.003533447,0.003176042,2,12
silu,6,0.004554058,0.00434826,2,12
tanh,6,0.002083259,0.002071431,2,12
gelu,6,0.004597885,0.004058074,2,12
silu,6,0.001529332,0.001625978,2,12
tanh,6,0.002471291,0.002359916,2,12
gelu,6,0.003551033,0.003415642,2,12
silu,6,0.002806583,0.002594455,2,12
tanh,6,0.002040592,0.001944084,2,12
gelu,6,0.003086873,0.00272126,2,12
silu,6,0.003997003,0.003489695,2,12
tanh,6,0.003492406,0.003164107,2,12
gelu,6,0.003554735,0.003472544,2,12
silu,6,0.00177315,0.001889898,2,12
tanh,6,0.002537528,0.002293465,2,12
gelu,6,0.00352154,0.003261256,2,12
silu,6,0.002679416,0.002739425,2,12
tanh,6,0.003055445,0.00292332,2,12
gelu,6,0.003266547,0.003264596,2,12
silu,6,0.002070615,0.002026044,2,12
tanh,6,0.003265184,0.003003865,2,12
gelu,6,0.002171114,0.002205528,2,12
silu,6,0.002150888,0.002057045,2,12
tanh,6,0.002773074,0.002736626,2,12
gelu,6,0.003211845,0.003170367,2,12
silu,6,0.003806428,0.00340022,2,12
tanh,6,0.002405997,0.002458326,2,12
gelu,6,0.003657705,0.003376631,2,12
silu,6,0.003492257,0.003259095,2,12
tanh,6,0.002513002,0.002464165,2,12
gelu,6,0.004004483,0.003594934,2,12
silu,6,0.002392031,0.002438806,2,12
tanh,6,0.002585356,0.002289676,2,12
gelu,6,0.003915596,0.0033292,2,12
silu,6,0.003078448,0.002951648,2,12
tanh,6,0.002896692,0.002812437,2,12
gelu,6,0.001140663,0.001109927,2,12
silu,6,0.001900779,0.001895463,2,12
tanh,6,0.00242512,0.002235584,2,12
gelu,6,0.004275999,0.003948214,2,12
silu,6,0.003266866,0.002988804,2,12
tanh,6,0.001954524,0.001962296,2,12
gelu,6,0.00342813,0.003255178,2,12
silu,6,0.003392203,0.003176436,2,12
tanh,6,0.002731373,0.00262193,2,12
gelu,6,0.002914028,0.002861375,2,12
silu,6,0.003015732,0.002829821,2,12
tanh,6,0.002938909,0.002821151,2,12
gelu,6,0.001637395,0.001665345,2,12
silu,6,0.003374442,0.003160781,2,12
tanh,6,0.00336236,0.002951222,2,12
gelu,6,0.002081418,0.002210926,2,12
silu,6,0.004008402,0.003679533,2,12
