,neuron_type,n,loss,val_loss
0,tanh,2,0.002837768290191889,0.002599421888589859
1,gelu,2,0.010200496762990952,0.010133802890777588
2,silu,2,0.004037739709019661,0.003818355966359377
3,tanh,2,0.03918546810746193,0.03554365038871765
4,gelu,2,0.00948842242360115,0.009364713914692402
5,silu,2,0.01015279721468687,0.010087016969919205
6,tanh,2,0.010506576858460903,0.010423215106129646
7,gelu,2,0.010649027302861214,0.010295672342181206
8,silu,2,0.011983786709606647,0.01160646602511406
9,tanh,2,0.010118763893842697,0.009903623722493649
10,gelu,2,0.009788591414690018,0.00967478659003973
11,silu,2,0.004787889309227467,0.004346122499555349
12,tanh,2,0.010048996657133102,0.009950235486030579
13,gelu,2,0.0032387503888458014,0.002809744095429778
14,silu,2,0.003990504425019026,0.003512986470013857
15,tanh,2,0.01081821322441101,0.010459721088409424
16,gelu,2,0.011765703558921814,0.01129965577274561
17,silu,2,0.004695802927017212,0.0041687870398163795
18,tanh,2,0.00994002353399992,0.010079370811581612
19,gelu,2,0.03926294296979904,0.03592851012945175
20,silu,2,0.03955382481217384,0.03603611886501312
21,tanh,2,0.010153060778975487,0.01005682721734047
22,gelu,2,0.012097174301743507,0.011461678892374039
23,silu,2,0.01094889361411333,0.010485063306987286
24,tanh,2,0.010447473265230656,0.010137890465557575
25,gelu,2,0.01164919137954712,0.011513713747262955
26,silu,2,0.03972258046269417,0.03615986183285713
27,tanh,2,0.010576147586107254,0.010643267072737217
28,gelu,2,0.00347301852889359,0.0031195555347949266
29,silu,2,0.009867455810308456,0.009710092097520828
30,tanh,2,0.03943252190947533,0.03588161617517471
31,gelu,2,0.009911171160638332,0.009794330224394798
32,silu,2,0.011651209555566311,0.011359300464391708
33,tanh,2,0.010737886652350426,0.010318810120224953
34,gelu,2,0.01006051804870367,0.009641307406127453
35,silu,2,0.010771004483103752,0.010432177223265171
36,tanh,2,0.03946619853377342,0.03637683764100075
37,gelu,2,0.011456279084086418,0.011058343574404716
38,silu,2,0.010278494097292423,0.010015170089900494
39,tanh,2,0.004081034101545811,0.003831942332908511
40,gelu,2,0.03944089636206627,0.03597097098827362
41,silu,2,0.0395021066069603,0.036022674292325974
42,tanh,2,0.010132093913853168,0.009908189065754414
43,gelu,2,0.01032058335840702,0.010075579397380352
44,silu,2,0.0032938439399003983,0.002897198311984539
45,tanh,2,0.010174207389354706,0.010131681337952614
46,gelu,2,0.012145671993494034,0.011971527710556984
47,silu,2,0.010683413594961166,0.0103362537920475
48,tanh,2,0.003887712489813566,0.003688081633299589
49,gelu,2,0.011602930724620819,0.011298761703073978
50,silu,2,0.003575003705918789,0.0030845615547150373
51,tanh,2,0.03973883390426636,0.03611030429601669
52,gelu,2,0.006434591952711344,0.006243878975510597
53,silu,2,0.01126778032630682,0.0110082495957613
54,tanh,2,0.009847074747085571,0.009766485542058945
55,gelu,2,0.010723481886088848,0.010585577227175236
56,silu,2,0.011461222544312477,0.010999547317624092
57,tanh,2,0.00955254677683115,0.009766414761543274
58,gelu,2,0.039491936564445496,0.03582609444856644
59,silu,2,0.01146517414599657,0.011235863901674747
60,tanh,2,0.0034466669894754887,0.003118411172181368
61,gelu,2,0.011169353500008583,0.010907267220318317
62,silu,2,0.0036702475044876337,0.003180383937433362
63,tanh,2,0.039256222546100616,0.03587763011455536
64,gelu,2,0.03944368287920952,0.035917285829782486
65,silu,2,0.010130862705409527,0.00985416304320097
66,tanh,2,0.010223018005490303,0.010191190987825394
67,gelu,2,0.009774694219231606,0.009610839188098907
68,silu,2,0.00431875279173255,0.004096102900803089
69,tanh,2,0.010820120573043823,0.010283579118549824
70,gelu,2,0.010410883463919163,0.010299968533217907
71,silu,2,0.00520361727103591,0.005156815983355045
72,tanh,2,0.009974176995456219,0.009919309057295322
73,gelu,2,0.010151243768632412,0.010094958357512951
74,silu,2,0.009512560442090034,0.009068449959158897
75,tanh,2,0.0031342238653451204,0.002886371221393347
76,gelu,2,0.010893662460148335,0.010406742803752422
77,silu,2,0.010405771434307098,0.010129787027835846
78,tanh,2,0.03933320194482803,0.03570689260959625
79,gelu,2,0.03958731144666672,0.036097776144742966
80,silu,2,0.00933112483471632,0.00891129020601511
81,tanh,2,0.039460208266973495,0.03575868904590607
82,gelu,2,0.010485746897757053,0.010305237025022507
83,silu,2,0.03977588936686516,0.03614937886595726
84,tanh,2,0.010552259162068367,0.010450848378241062
85,gelu,2,0.006535204593092203,0.006434027571231127
86,silu,2,0.00837729312479496,0.007728495169430971
87,tanh,2,0.00922203715890646,0.00913241133093834
88,gelu,2,0.011231801472604275,0.010804813355207443
89,silu,2,0.003207025583833456,0.0029190860223025084
90,tanh,2,0.010314444079995155,0.009920267388224602
91,gelu,2,0.011588304303586483,0.011270123533904552
92,silu,2,0.010395657271146774,0.00995068158954382
93,tanh,2,0.010852385312318802,0.01069699414074421
