,neuron_type,n,loss,val_loss
0,tanh,21,0.0027709302958101034,0.0027050755452364683
1,gelu,21,0.00136501993983984,0.0014490904286503792
2,silu,21,0.00210988218896091,0.0021722803357988596
3,tanh,21,0.0030739237554371357,0.0031522114295512438
4,gelu,21,0.0034158953931182623,0.0035116448998451233
5,silu,21,0.0036190140526741743,0.0036860022228211164
6,tanh,21,0.002693638438358903,0.002760338829830289
7,gelu,21,0.0021594169083982706,0.0023086874280124903
8,silu,21,0.002912006573751569,0.002835061401128769
9,tanh,21,0.0032956767827272415,0.003313822904601693
10,gelu,21,0.001864626188762486,0.0017752046696841717
11,silu,21,0.0015965739730745554,0.0014934373321011662
12,tanh,21,0.003892775159329176,0.0042638895101845264
13,gelu,21,0.0022484830114990473,0.0021899796556681395
14,silu,21,0.001822281745262444,0.0019088631961494684
15,tanh,21,0.0026063111145049334,0.0026094047352671623
16,gelu,21,0.002591650700196624,0.0026222323067486286
17,silu,21,0.0022077506873756647,0.002273576334118843
18,tanh,21,0.0033024833537638187,0.003364092670381069
19,gelu,21,0.0025389157235622406,0.002506674500182271
20,silu,21,0.0015524926129728556,0.0015809208853170276
21,tanh,21,0.0027323090471327305,0.0026557687669992447
22,gelu,21,0.0026533512864261866,0.00255194422788918
23,silu,21,0.0028157669585198164,0.0029266229830682278
24,tanh,21,0.002828131429851055,0.0029538809321820736
25,gelu,21,0.0009168417891487479,0.0010587883880361915
26,silu,21,0.0020881921518594027,0.0022135041654109955
27,tanh,21,0.0034227578435093164,0.003386859782040119
28,gelu,21,0.0029277747962623835,0.002887934911996126
29,silu,21,0.0016494800802320242,0.001535607036203146
30,tanh,21,0.0032098812516778708,0.003252604277804494
31,gelu,21,0.0029492476023733616,0.003057552967220545
32,silu,21,0.002173756714910269,0.0021325103007256985
33,tanh,21,0.0027024864684790373,0.00278230058029294
34,gelu,21,0.0014223456382751465,0.0013696540845558047
35,silu,21,0.0032019205391407013,0.003274978371337056
36,tanh,21,0.003144853515550494,0.00301060127094388
37,gelu,21,0.0025648821610957384,0.002667721826583147
38,silu,21,0.003031610744073987,0.0029890271835029125
39,tanh,21,0.001992840087041259,0.0020703293848782778
40,gelu,21,0.0028753371443599463,0.00293914508074522
41,silu,21,0.0024786328431218863,0.0025315587408840656
42,tanh,21,0.0032495995983481407,0.0033522844314575195
43,gelu,21,0.003081058617681265,0.0032743338961154222
44,silu,21,0.00248911720700562,0.002503698691725731
45,tanh,21,0.003166426671668887,0.0032936949282884598
46,gelu,21,0.0037049700040370226,0.004105139523744583
47,silu,21,0.002945484360679984,0.0027344899717718363
48,tanh,21,0.003052865155041218,0.0030519599094986916
49,gelu,21,0.0008779421914368868,0.001065388903953135
50,silu,21,0.0016915996093302965,0.001735933474265039
51,tanh,21,0.0030168136581778526,0.003067003795877099
52,gelu,21,0.0029824881348758936,0.002906349953263998
53,silu,21,0.0037982037756592035,0.0039415499195456505
54,tanh,21,0.0028492396231740713,0.0029488936997950077
55,gelu,21,0.001497762743383646,0.001596146379597485
56,silu,21,0.0020796486642211676,0.0021267151460051537
57,tanh,21,0.00312573229894042,0.0031335989478975534
58,gelu,21,0.0013402894837781787,0.0014265142381191254
59,silu,21,0.0029050731100142,0.0028536252211779356
60,tanh,21,0.0023963318672031164,0.0024706260301172733
61,gelu,21,0.0017483893316239119,0.0018497105920687318
62,silu,21,0.0012493456015363336,0.00122035329695791
63,tanh,21,0.0031479885801672935,0.0033765563275665045
64,gelu,21,0.003541991114616394,0.003668160643428564
65,silu,21,0.002182852244004607,0.002225777367129922
66,tanh,21,0.002850234741345048,0.0030613045673817396
67,gelu,21,0.0031567844562232494,0.0031240361277014017
68,silu,21,0.0021724929101765156,0.0020351018756628036
69,tanh,21,0.002853542333468795,0.0030194988939911127
70,gelu,21,0.0012683137319982052,0.0014232638059183955
71,silu,21,0.002700174693018198,0.0026418447960168123
72,tanh,21,0.0023330473341047764,0.002250548219308257
73,gelu,21,0.0025804354809224606,0.0025280623231083155
74,silu,21,0.003209649818018079,0.003214697353541851
75,tanh,21,0.0029297054279595613,0.002967200009152293
76,gelu,21,0.002105485647916794,0.0020496246870607138
77,silu,21,0.0035084194969385862,0.003651973558589816
78,tanh,21,0.003082253970205784,0.003134754952043295
79,gelu,21,0.002385671017691493,0.002268995624035597
80,silu,21,0.002567384857684374,0.0024643810465931892
81,tanh,21,0.003023148514330387,0.0032607093453407288
82,gelu,21,0.001961321569979191,0.0019555813632905483
83,silu,21,0.0033354416955262423,0.0033914127852767706
84,tanh,21,0.0032650709617882967,0.003374458523467183
85,gelu,21,0.0015260414220392704,0.001634035026654601
86,silu,21,0.0015987310325726867,0.0016334319952875376
87,tanh,21,0.003354153363034129,0.0034378475975245237
88,gelu,21,0.001356904162093997,0.0012822976568713784
89,silu,21,0.003522523446008563,0.0037254737690091133
90,tanh,21,0.0031406909693032503,0.0032090076711028814
91,gelu,21,0.001768730697222054,0.001802564482204616
92,silu,21,0.0032952921465039253,0.0032397022005170584
93,tanh,21,0.003120959037914872,0.003242616541683674
94,gelu,21,0.003998434171080589,0.003968521021306515
95,silu,21,0.001926374388858676,0.0019111409783363342
96,tanh,21,0.00370532157830894,0.004029897507280111
97,gelu,21,0.002032976131886244,0.0020757559686899185
98,silu,21,0.003022525692358613,0.002989365253597498
99,tanh,21,0.0031045780051499605,0.0030780297238379717
